city,period,date,actual,N-BEATS v2 (covariate-conditioned),residual,votes
Donostia/San Sebastian,test,2022-01-24,0.5186322428907418,0.45526674,0.06336550289074183,3
Donostia/San Sebastian,test,2022-02-01,0.5012797199059226,0.5632401,-0.06196038009407745,3
Donostia/San Sebastian,val,2021-01-07,0.5896692708333333,0.47430137,0.11536790083333331,4
Pamplona/Iruna,test,2021-09-25,0.3036311257512714,0.27920043,0.02443069575127138,3
Pamplona/Iruna,test,2021-11-01,0.2768365117891816,0.33702168,-0.060185168210818374,3
Pamplona/Iruna,val,2021-02-02,0.3725888286032275,0.42428598,-0.0516971513967725,3
Pamplona/Iruna,val,2021-02-08,0.407088063439065,0.34058923,0.06649883343906499,3
Pamplona/Iruna,val,2021-03-20,0.3406221384701283,0.28951937,0.05110276847012829,3
Pamplona/Iruna,val,2021-04-06,0.3461749022892238,0.2870137,0.059161202289223835,3
Vitoria-Gasteiz,test,2021-12-06,0.2703908890521675,0.34529832,-0.07490743094783248,3
Vitoria-Gasteiz,test,2021-12-20,0.4154691097232427,0.33571526,0.07975384972324268,3
Vitoria-Gasteiz,test,2022-01-02,0.2472799718344354,0.30307087,-0.055790898165564595,3
Vitoria-Gasteiz,test,2022-05-02,0.2796303881949546,0.22846034,0.051170048194954604,3
Vitoria-Gasteiz,val,2021-01-07,0.4488850467932838,0.33096984,0.11791520679328377,4
