,Group,Frequency,Threshold,N above,% above,N total
0,in,Daily,0.3,8,88.9,9
1,in,Daily,0.5,8,88.9,9
2,in,Daily,0.6,5,55.6,9
3,in,Daily,0.8,0,0.0,9
4,in,Weekly,0.3,9,100.0,9
5,in,Weekly,0.5,8,88.9,9
6,in,Weekly,0.6,6,66.7,9
7,in,Weekly,0.8,2,22.2,9
8,post,Daily,0.3,9,100.0,9
9,post,Daily,0.5,7,77.8,9
10,post,Daily,0.6,5,55.6,9
11,post,Daily,0.8,2,22.2,9
12,post,Weekly,0.3,9,100.0,9
13,post,Weekly,0.5,8,88.9,9
14,post,Weekly,0.6,8,88.9,9
15,post,Weekly,0.8,3,33.3,9
16,pre,Daily,0.3,9,100.0,9
17,pre,Daily,0.5,6,66.7,9
18,pre,Daily,0.6,6,66.7,9
19,pre,Daily,0.8,1,11.1,9
20,pre,Weekly,0.3,9,100.0,9
21,pre,Weekly,0.5,8,88.9,9
22,pre,Weekly,0.6,7,77.8,9
23,pre,Weekly,0.8,4,44.4,9
