,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,6,0.181239,0.053534,0.337962,0.007243,0.023804,0.081465,0.868455,1.758262
post,7,0.2208,0.045666,0.450064,0.015166,0.032871,0.090561,1.237904,2.012423
pre,5,0.269177,0.036481,0.503407,0.009792,0.033442,0.098382,1.167789,1.484383
